dataset	num_common_tfs	common_tfs
FrangiehIzar2021_RNA	17	['DNMT1', 'E2F1', 'FOS', 'FOXM1', 'IRF3', 'IRF4', 'KLF4', 'MYC', 'NONO', 'RB1', 'SMAD3', 'SMAD4', 'SOX4', 'STAT1', 'STAT3', 'TFAP2A', 'TP53']
GasperiniShendure2019_lowMOI	19	['APEX1', 'ARID1A', 'CEBPB', 'CTCFL', 'EWSR1', 'GATA2', 'GTF3A', 'HHEX', 'HOXB2', 'ID1', 'ID2', 'ID3', 'LMO2', 'MAX', 'MYC', 'NPM1', 'NR2F2', 'PARK7', 'SMARCC1']
NadigOConner2024_hepg2	78	['ARID3A', 'ATF4', 'ATF5', 'BRCA1', 'BRD4', 'CEBPG', 'CEBPZ', 'CLOCK', 'CTBP2', 'CTCF', 'CXXC1', 'DMAP1', 'DNMT1', 'E2F6', 'E4F1', 'ENO1', 'ETV4', 'EWSR1', 'FOXL2', 'FOXO1', 'GABPA', 'GATA1', 'GTF3A', 'HCFC1', 'HDAC3', 'HDAC7', 'HHEX', 'HINFP', 'HMGA1', 'HSF1', 'KAT5', 'KAT7', 'KDM2A', 'KDM5C', 'LMO2', 'MAX', 'MED1', 'MEF2A', 'MYB', 'MYBL2', 'MYC', 'MZF1', 'NANOG', 'NFYB', 'NFYC', 'NKX6-1', 'NPM1', 'NRF1', 'PREB', 'SF1', 'SFPQ', 'SIN3A', 'SP1', 'SP2', 'SRF', 'SRSF2', 'SSRP1', 'STAT5A', 'STAT5B', 'TADA2A', 'TAF1', 'TBP', 'TBPL1', 'TFAM', 'TFAP4', 'TFDP1', 'THAP11', 'UBTF', 'USF2', 'VHL', 'YBX1', 'YBX3', 'YY1', 'ZBTB14', 'ZBTB17', 'ZBTB4', 'ZNF143', 'ZNF236']
NadigOConner2024_jurkat	73	['ARID3A', 'ARID5B', 'ATF4', 'ATF5', 'BRCA1', 'BRD4', 'CEBPG', 'CEBPZ', 'CLOCK', 'CTBP2', 'CTCF', 'CXXC1', 'DNMT1', 'E2F6', 'ENO1', 'ETV4', 'EWSR1', 'FOXL2', 'FOXO1', 'GABPA', 'GATA1', 'GTF3A', 'HCFC1', 'HDAC3', 'HDAC7', 'HHEX', 'HINFP', 'HMGA1', 'HSF1', 'KAT5', 'KAT7', 'KDM2A', 'KDM5C', 'LMO2', 'MAX', 'MED1', 'MEF2A', 'MYB', 'MYBL2', 'MYC', 'MZF1', 'NANOG', 'NFYB', 'NFYC', 'NPM1', 'NRF1', 'PREB', 'SFPQ', 'SP1', 'SP2', 'SRF', 'SRSF2', 'SSRP1', 'STAT5A', 'STAT5B', 'TADA2A', 'TAF1', 'TBP', 'TBPL1', 'TFAM', 'TFAP4', 'TFDP1', 'UBTF', 'USF2', 'VHL', 'YBX1', 'YBX3', 'YY1', 'ZBTB14', 'ZBTB17', 'ZBTB4', 'ZNF143', 'ZNF236']
NormanWeissman2019_filtered	30	['AHR', 'CEBPA', 'CEBPB', 'CEBPE', 'DLX2', 'EGR1', 'ETS2', 'FEV', 'FOSB', 'FOXA1', 'FOXA3', 'FOXL2', 'FOXO4', 'HNF4A', 'IKZF3', 'IRF1', 'JUN', 'KLF1', 'KMT2A', 'LYL1', 'MEIS1', 'POU3F2', 'PRDM1', 'RREB1', 'SNAI1', 'SPI1', 'TBX2', 'TBX3', 'TP73', 'TSC22D1']
PapalexiSatija2021_eccite_RNA	13	['ATF2', 'BRD4', 'ETV7', 'IRF1', 'IRF7', 'MYC', 'POU2F2', 'SMAD4', 'SPI1', 'STAT1', 'STAT2', 'STAT3', 'STAT5A']
ReplogleWeissman2022_K562_essential	51	['ARID3A', 'ATF4', 'ATF5', 'BRCA1', 'BRD4', 'CTCF', 'CXXC1', 'DNMT1', 'E2F6', 'E4F1', 'ENO1', 'EWSR1', 'FOXL2', 'GABPA', 'GATA1', 'GTF3A', 'HCFC1', 'HDAC3', 'HDAC7', 'HINFP', 'HMGA1', 'HSF1', 'KAT5', 'KDM2A', 'MAX', 'MYBL2', 'MYC', 'MZF1', 'NANOG', 'NFYB', 'NFYC', 'NPM1', 'NRF1', 'SFPQ', 'SP2', 'SRF', 'SRSF2', 'SSRP1', 'STAT5A', 'TADA2A', 'TAF1', 'TBP', 'TFAM', 'TFDP1', 'UBTF', 'USF2', 'VHL', 'YBX1', 'YY1', 'ZBTB17', 'ZNF236']
ReplogleWeissman2022_K562_gwps	446	['ABL1', 'AHR', 'AIRE', 'AP1', 'APEX1', 'AR', 'ARID3A', 'ARID3B', 'ARID4A', 'ARNT', 'ARX', 'ASCL1', 'ATF1', 'ATF2', 'ATF3', 'ATF4', 'ATF5', 'ATF6', 'BACH1', 'BCL11A', 'BCL11B', 'BCL6', 'BHLHE40', 'BHLHE41', 'BRCA1', 'BRD4', 'CDX1', 'CDX2', 'CEBPA', 'CEBPB', 'CEBPD', 'CEBPE', 'CEBPG', 'CLOCK', 'CREB1', 'CREB5', 'CREBBP', 'CREBZF', 'CREM', 'CRX', 'CTCF', 'CTCFL', 'CTNNB1', 'CUX1', 'CXXC1', 'DBP', 'DDIT3', 'DLX2', 'DLX3', 'DLX4', 'DLX5', 'DMTF1', 'DNMT1', 'DNMT3A', 'DNMT3B', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'E2F6', 'E4F1', 'EBF1', 'EGR1', 'EGR2', 'EGR3', 'EHF', 'ELF1', 'ELF3', 'ELF4', 'ELK1', 'ELK3', 'ELK4', 'ENO1', 'EOMES', 'EP300', 'EPAS1', 'ERF', 'ERG', 'ESR1', 'ESR2', 'ESRRA', 'ESRRG', 'ETS1', 'ETS2', 'ETV3', 'ETV4', 'ETV6', 'EWSR1', 'EZH2', 'FLI1', 'FOS', 'FOSB', 'FOSL1', 'FOSL2', 'FOXA1', 'FOXA2', 'FOXC2', 'FOXF2', 'FOXH1', 'FOXJ1', 'FOXL2', 'FOXM1', 'FOXN1', 'FOXO1', 'FOXO3', 'FOXO4', 'FOXP3', 'GABPA', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'GATA6', 'GFI1', 'GLI1', 'GLI2', 'GLI3', 'GRHL3', 'GTF2I', 'GTF3A', 'HAND2', 'HBP1', 'HCFC1', 'HDAC1', 'HDAC3', 'HDAC5', 'HDAC7', 'HES1', 'HESX1', 'HEY1', 'HEY2', 'HHEX', 'HIC1', 'HIF1A', 'HINFP', 'HLF', 'HLX', 'HMGA1', 'HMGA2', 'HNF1A', 'HNF4A', 'HOXA1', 'HOXA10', 'HOXA7', 'HOXA9', 'HOXB13', 'HOXB2', 'HOXB7', 'HOXD1', 'HSF1', 'HSF2', 'HSF4', 'ID1', 'ID2', 'ID3', 'IKZF1', 'IRF1', 'IRF2', 'IRF3', 'IRF4', 'IRF7', 'IRF8', 'IRF9', 'ISL1', 'JARID2', 'JDP2', 'JUN', 'JUNB', 'JUND', 'KAT2B', 'KAT5', 'KAT6A', 'KAT7', 'KDM2A', 'KDM5A', 'KDM5B', 'KDM5C', 'KLF1', 'KLF10', 'KLF11', 'KLF13', 'KLF15', 'KLF2', 'KLF4', 'KLF5', 'KLF6', 'KLF8', 'KLF9', 'KMT2A', 'KMT2B', 'LEF1', 'LHX2', 'LITAF', 'LMO2', 'LMX1B', 'LRRFIP1', 'LYL1', 'MAF', 'MAFA', 'MAFB', 'MAFG', 'MAFK', 'MAX', 'MAZ', 'MBD1', 'MBD2', 'MECOM', 'MECP2', 'MEF2A', 'MEF2C', 'MEF2D', 'MITF', 'MLXIPL', 'MSC', 'MSX2', 'MTA1', 'MTA3', 'MTF1', 'MXD1', 'MXI1', 'MYB', 'MYBL1', 'MYBL2', 'MYC', 'MYCN', 'MYF5', 'MYOD1', 'MYOG', 'MZF1', 'NANOG', 'NCOA1', 'NCOA2', 'NCOA3', 'NCOR1', 'NCOR2', 'NEUROD1', 'NEUROD2', 'NEUROD6', 'NFAT5', 'NFATC1', 'NFATC2', 'NFATC3', 'NFATC4', 'NFE2', 'NFE2L1', 'NFE2L2', 'NFIA', 'NFIB', 'NFIC', 'NFIL3', 'NFKB1', 'NFKB2', 'NFKBIB', 'NFYA', 'NFYB', 'NFYC', 'NKX2-1', 'NKX2-5', 'NKX3-1', 'NONO', 'NOTO', 'NPM1', 'NR0B1', 'NR1H2', 'NR1H3', 'NR1H4', 'NR1I2', 'NR1I3', 'NR2C1', 'NR2C2', 'NR2E1', 'NR2F1', 'NR2F2', 'NR3C1', 'NR3C2', 'NR4A1', 'NR4A2', 'NR4A3', 'NR5A1', 'NR5A2', 'NRF1', 'NRL', 'ONECUT1', 'OTX2', 'OVOL1', 'PARK7', 'PAX2', 'PAX3', 'PAX5', 'PAX6', 'PAX8', 'PBX1', 'PDX1', 'PGR', 'PITX1', 'PITX2', 'PKNOX1', 'PLAGL1', 'PML', 'POU1F1', 'POU2F1', 'POU2F2', 'POU3F2', 'POU4F1', 'POU4F2', 'POU5F1', 'PPARA', 'PPARD', 'PPARG', 'PRDM1', 'PROX1', 'PURA', 'RARA', 'RARB', 'RARG', 'RB1', 'RBPJ', 'REL', 'RELA', 'RELB', 'REST', 'RFX1', 'RORA', 'RUNX1', 'RUNX2', 'RUNX3', 'RXRA', 'SALL4', 'SATB1', 'SATB2', 'SFPQ', 'SIM2', 'SIRT1', 'SMAD1', 'SMAD2', 'SMAD3', 'SMAD4', 'SMAD5', 'SMAD6', 'SMARCA1', 'SMARCA5', 'SMARCC1', 'SNAI1', 'SNAI2', 'SOX10', 'SOX11', 'SOX17', 'SOX2', 'SOX4', 'SOX6', 'SOX9', 'SP1', 'SP2', 'SP3', 'SP4', 'SP7', 'SPI1', 'SPIB', 'SREBF1', 'SREBF2', 'SRF', 'SRSF2', 'SRY', 'SSRP1', 'STAT1', 'STAT2', 'STAT3', 'STAT4', 'STAT5A', 'STAT5B', 'STAT6', 'TADA2A', 'TAF1', 'TAL1', 'TBP', 'TBPL1', 'TBPL2', 'TBX15', 'TBX2', 'TBX21', 'TBX5', 'TCF12', 'TCF3', 'TCF4', 'TCF7', 'TCF7L2', 'TEAD1', 'TEAD4', 'TEF', 'TET1', 'TFAM', 'TFAP2A', 'TFAP2B', 'TFAP2C', 'TFAP4', 'TFCP2', 'TFDP1', 'TFDP3', 'TFE3', 'THRA', 'THRB', 'TP53', 'TP63', 'TP73', 'TRIM28', 'TRPS1', 'TTF1', 'TWIST1', 'TWIST2', 'UBTF', 'USF1', 'USF2', 'VDR', 'VHL', 'VSX2', 'WT1', 'XBP1', 'YBX1', 'YBX3', 'YY1', 'ZBED1', 'ZBTB16', 'ZBTB17', 'ZBTB4', 'ZBTB7A', 'ZEB1', 'ZEB2', 'ZFP42', 'ZFPM1', 'ZGLP1', 'ZHX2', 'ZIC1', 'ZKSCAN7', 'ZNF143', 'ZNF148', 'ZNF236', 'ZNF263', 'ZNF331', 'ZNF350', 'ZNF362', 'ZNF382', 'ZNF699', 'ZNF76', 'ZNF91']
ReplogleWeissman2022_rpe1	76	['ARID3A', 'ATF4', 'ATF5', 'BCLAF1', 'BRCA1', 'BRD4', 'CEBPG', 'CEBPZ', 'CLOCK', 'CTBP2', 'CTCF', 'CXXC1', 'DNMT1', 'E2F6', 'E4F1', 'ENO1', 'ETV4', 'EWSR1', 'FOXL2', 'FOXO1', 'GABPA', 'GATA1', 'GTF3A', 'HCFC1', 'HDAC3', 'HDAC7', 'HHEX', 'HINFP', 'HMGA1', 'HSF1', 'KAT5', 'KAT7', 'KDM2A', 'KDM5C', 'KLF7', 'LMO2', 'MAX', 'MED1', 'MEF2A', 'MYB', 'MYBL2', 'MYC', 'MZF1', 'NANOG', 'NFYB', 'NFYC', 'NPM1', 'NRF1', 'PREB', 'SFPQ', 'SIN3A', 'SP1', 'SP2', 'SRF', 'SRSF2', 'SSRP1', 'STAT5A', 'STAT5B', 'TADA2A', 'TAF1', 'TBP', 'TBPL1', 'TFAM', 'TFAP4', 'TFDP1', 'THAP11', 'UBTF', 'USF2', 'VHL', 'YBX1', 'YBX3', 'YY1', 'ZBTB17', 'ZBTB4', 'ZNF143', 'ZNF236']
SunshineHein2023	14	['ATF4', 'ATF6', 'BRD4', 'IRF3', 'IRF9', 'RELA', 'RELB', 'SIRT1', 'SMAD3', 'SREBF1', 'SREBF2', 'STAT1', 'STAT2', 'XBP1']
TianKampmann2021_CRISPRa	15	['EGR2', 'FEZF2', 'GBX2', 'GLIS3', 'HDAC9', 'HMGA2', 'MEF2C', 'NR2F2', 'POU4F1', 'PPARGC1A', 'SOX5', 'SPI1', 'TFAM', 'TP53', 'YAP1']
TianKampmann2021_CRISPRi	8	['APEX1', 'CREBBP', 'EWSR1', 'FOXC1', 'MTA1', 'POU4F1', 'TAF1', 'TFAM']
WesselsSatija2023	10	['DOT1L', 'EP300', 'FLI1', 'GATA2', 'GFI1', 'HDAC3', 'IKZF1', 'MYB', 'SMARCA5', 'SSRP1']
