source	target	interaction	weight
TF_1	G_345	upregulates-expression	1.0
TF_1	G_326	upregulates-expression	1.0
TF_1	G_376	upregulates-expression	1.0
TF_1	G_567	upregulates-expression	1.0
TF_1	G_656	upregulates-expression	1.0
TF_1	G_462	upregulates-expression	1.0
TF_1	G_454	upregulates-expression	1.0
TF_1	G_321	upregulates-expression	1.0
TF_1	G_552	downregulates-expression	1.0
TF_2	G_561	upregulates-expression	1.0
TF_2	G_761	upregulates-expression	1.0
TF_2	G_838	upregulates-expression	1.0
TF_2	G_262	upregulates-expression	1.0
TF_3	G_927	upregulates-expression	1.0
TF_3	G_387	upregulates-expression	1.0
TF_3	G_945	upregulates-expression	1.0
TF_3	G_58	upregulates-expression	1.0
TF_3	G_674	upregulates-expression	1.0
TF_3	G_580	upregulates-expression	1.0
TF_4	G_372	upregulates-expression	1.0
TF_4	G_754	upregulates-expression	1.0
TF_4	G_961	upregulates-expression	1.0
TF_4	G_774	upregulates-expression	1.0
TF_4	G_964	upregulates-expression	1.0
TF_4	G_202	upregulates-expression	1.0
TF_4	G_847	upregulates-expression	1.0
TF_4	G_31	upregulates-expression	1.0
TF_4	G_274	upregulates-expression	1.0
TF_4	G_565	upregulates-expression	1.0
TF_4	G_529	upregulates-expression	1.0
TF_4	G_593	upregulates-expression	1.0
TF_4	G_178	upregulates-expression	1.0
TF_4	G_805	upregulates-expression	1.0
TF_4	G_492	upregulates-expression	1.0
TF_4	G_125	upregulates-expression	1.0
TF_4	G_786	upregulates-expression	1.0
TF_4	G_373	upregulates-expression	1.0
TF_4	G_561	upregulates-expression	1.0
TF_4	G_877	downregulates-expression	1.0
TF_4	G_328	downregulates-expression	1.0
TF_4	G_879	downregulates-expression	1.0
TF_4	G_8	downregulates-expression	1.0
TF_4	G_468	downregulates-expression	1.0
TF_5	G_202	upregulates-expression	1.0
TF_5	G_156	upregulates-expression	1.0
TF_5	G_461	upregulates-expression	1.0
TF_5	G_375	upregulates-expression	1.0
TF_5	G_122	upregulates-expression	1.0
TF_5	G_344	upregulates-expression	1.0
TF_5	G_625	upregulates-expression	1.0
TF_5	G_519	upregulates-expression	1.0
TF_5	G_227	upregulates-expression	1.0
TF_5	G_44	downregulates-expression	1.0
TF_6	G_994	upregulates-expression	1.0
TF_6	G_40	upregulates-expression	1.0
TF_6	G_633	upregulates-expression	1.0
TF_6	G_651	upregulates-expression	1.0
TF_6	G_432	upregulates-expression	1.0
TF_6	G_45	upregulates-expression	1.0
TF_6	G_712	upregulates-expression	1.0
TF_6	G_49	upregulates-expression	1.0
TF_6	G_866	upregulates-expression	1.0
TF_6	G_958	upregulates-expression	1.0
TF_6	G_843	upregulates-expression	1.0
TF_6	G_938	upregulates-expression	1.0
TF_6	G_907	upregulates-expression	1.0
TF_6	G_527	upregulates-expression	1.0
TF_6	G_435	upregulates-expression	1.0
TF_6	G_308	upregulates-expression	1.0
TF_7	G_944	upregulates-expression	1.0
TF_7	G_119	upregulates-expression	1.0
TF_7	G_313	upregulates-expression	1.0
TF_7	G_451	upregulates-expression	1.0
TF_7	G_906	upregulates-expression	1.0
TF_7	G_962	upregulates-expression	1.0
TF_7	G_394	upregulates-expression	1.0
TF_7	G_140	upregulates-expression	1.0
TF_7	G_980	upregulates-expression	1.0
TF_7	G_969	upregulates-expression	1.0
TF_7	G_455	upregulates-expression	1.0
TF_7	G_538	upregulates-expression	1.0
TF_7	G_73	upregulates-expression	1.0
TF_7	G_974	upregulates-expression	1.0
TF_7	G_202	upregulates-expression	1.0
TF_7	G_858	upregulates-expression	1.0
TF_7	G_799	upregulates-expression	1.0
TF_7	G_379	upregulates-expression	1.0
TF_7	G_839	upregulates-expression	1.0
TF_7	G_536	upregulates-expression	1.0
TF_7	G_711	upregulates-expression	1.0
TF_7	G_846	upregulates-expression	1.0
TF_7	G_715	upregulates-expression	1.0
TF_7	G_480	upregulates-expression	1.0
TF_7	G_291	downregulates-expression	1.0
TF_8	G_169	upregulates-expression	1.0
TF_8	G_917	upregulates-expression	1.0
TF_8	G_568	upregulates-expression	1.0
TF_8	G_530	upregulates-expression	1.0
TF_8	G_211	upregulates-expression	1.0
TF_8	G_73	upregulates-expression	1.0
TF_9	G_995	upregulates-expression	1.0
TF_9	G_531	upregulates-expression	1.0
TF_9	G_444	upregulates-expression	1.0
TF_9	G_516	upregulates-expression	1.0
TF_9	G_376	upregulates-expression	1.0
TF_9	G_321	upregulates-expression	1.0
TF_9	G_133	upregulates-expression	1.0
TF_9	G_493	upregulates-expression	1.0
TF_9	G_772	upregulates-expression	1.0
TF_9	G_952	upregulates-expression	1.0
TF_9	G_507	upregulates-expression	1.0
TF_9	G_946	upregulates-expression	1.0
TF_9	G_624	upregulates-expression	1.0
TF_9	G_734	upregulates-expression	1.0
TF_9	G_348	upregulates-expression	1.0
TF_9	G_677	upregulates-expression	1.0
TF_9	G_443	upregulates-expression	1.0
TF_9	G_245	upregulates-expression	1.0
TF_9	G_441	upregulates-expression	1.0
TF_9	G_939	upregulates-expression	1.0
TF_9	G_652	upregulates-expression	1.0
TF_9	G_186	upregulates-expression	1.0
TF_9	G_202	upregulates-expression	1.0
TF_9	G_854	upregulates-expression	1.0
TF_9	G_115	upregulates-expression	1.0
TF_9	G_242	upregulates-expression	1.0
TF_9	G_805	upregulates-expression	1.0
TF_9	G_194	upregulates-expression	1.0
TF_10	G_747	upregulates-expression	1.0
TF_10	G_755	upregulates-expression	1.0
TF_10	G_148	upregulates-expression	1.0
TF_10	G_660	upregulates-expression	1.0
TF_10	G_960	upregulates-expression	1.0
TF_10	G_347	upregulates-expression	1.0
TF_10	G_371	upregulates-expression	1.0
TF_10	G_228	upregulates-expression	1.0
TF_10	G_632	upregulates-expression	1.0
TF_10	G_459	upregulates-expression	1.0
TF_10	G_677	upregulates-expression	1.0
TF_10	G_428	upregulates-expression	1.0
TF_10	G_640	upregulates-expression	1.0
TF_10	G_821	upregulates-expression	1.0
TF_10	G_216	upregulates-expression	1.0
TF_10	G_847	downregulates-expression	1.0
TF_10	G_503	downregulates-expression	1.0
TF_11	G_765	upregulates-expression	1.0
TF_11	G_716	upregulates-expression	1.0
TF_12	G_453	upregulates-expression	1.0
TF_12	G_783	upregulates-expression	1.0
TF_12	G_770	upregulates-expression	1.0
TF_12	G_314	upregulates-expression	1.0
TF_12	G_191	upregulates-expression	1.0
TF_12	G_858	upregulates-expression	1.0
TF_12	G_241	upregulates-expression	1.0
TF_12	G_204	upregulates-expression	1.0
TF_12	G_444	upregulates-expression	1.0
TF_12	G_311	upregulates-expression	1.0
TF_12	G_400	upregulates-expression	1.0
TF_12	G_608	upregulates-expression	1.0
TF_12	G_147	upregulates-expression	1.0
TF_12	G_620	upregulates-expression	1.0
TF_12	G_274	upregulates-expression	1.0
TF_12	G_480	upregulates-expression	1.0
TF_12	G_345	upregulates-expression	1.0
TF_12	G_313	upregulates-expression	1.0
TF_12	G_134	upregulates-expression	1.0
TF_12	G_933	upregulates-expression	1.0
TF_12	G_842	upregulates-expression	1.0
TF_12	G_140	upregulates-expression	1.0
TF_12	G_360	upregulates-expression	1.0
TF_12	G_796	upregulates-expression	1.0
TF_12	G_249	upregulates-expression	1.0
TF_12	G_355	upregulates-expression	1.0
TF_12	G_841	upregulates-expression	1.0
TF_12	G_19	upregulates-expression	1.0
TF_12	G_248	upregulates-expression	1.0
TF_12	G_995	upregulates-expression	1.0
TF_12	G_309	upregulates-expression	1.0
TF_12	G_154	upregulates-expression	1.0
TF_12	G_549	upregulates-expression	1.0
TF_12	G_940	upregulates-expression	1.0
TF_12	G_550	upregulates-expression	1.0
TF_12	G_468	upregulates-expression	1.0
TF_12	G_680	upregulates-expression	1.0
TF_12	G_1000	upregulates-expression	1.0
TF_12	G_915	upregulates-expression	1.0
TF_12	G_758	upregulates-expression	1.0
TF_12	G_279	upregulates-expression	1.0
TF_12	G_567	upregulates-expression	1.0
TF_12	G_818	upregulates-expression	1.0
TF_12	G_821	upregulates-expression	1.0
TF_12	G_211	upregulates-expression	1.0
TF_12	G_643	upregulates-expression	1.0
TF_12	G_554	upregulates-expression	1.0
TF_12	G_847	upregulates-expression	1.0
TF_12	G_275	upregulates-expression	1.0
TF_12	G_163	upregulates-expression	1.0
TF_12	G_494	upregulates-expression	1.0
TF_12	G_681	upregulates-expression	1.0
TF_12	G_926	upregulates-expression	1.0
TF_12	G_461	upregulates-expression	1.0
TF_12	G_399	upregulates-expression	1.0
TF_12	G_102	upregulates-expression	1.0
TF_12	G_65	upregulates-expression	1.0
TF_12	G_823	upregulates-expression	1.0
TF_12	G_755	upregulates-expression	1.0
TF_12	G_81	upregulates-expression	1.0
TF_12	G_490	upregulates-expression	1.0
TF_12	G_190	upregulates-expression	1.0
TF_12	G_896	upregulates-expression	1.0
TF_12	G_953	upregulates-expression	1.0
TF_12	G_406	upregulates-expression	1.0
TF_12	G_301	downregulates-expression	1.0
TF_12	G_711	downregulates-expression	1.0
TF_12	G_386	downregulates-expression	1.0
TF_12	G_797	downregulates-expression	1.0
TF_12	G_867	downregulates-expression	1.0
TF_12	G_832	downregulates-expression	1.0
TF_12	G_370	downregulates-expression	1.0
TF_12	G_186	downregulates-expression	1.0
TF_13	G_399	upregulates-expression	1.0
TF_13	G_239	upregulates-expression	1.0
TF_13	G_154	upregulates-expression	1.0
TF_13	G_944	upregulates-expression	1.0
TF_13	G_847	downregulates-expression	1.0
TF_14	G_180	upregulates-expression	1.0
TF_15	G_642	upregulates-expression	1.0
TF_15	G_783	upregulates-expression	1.0
TF_16	G_847	upregulates-expression	1.0
TF_16	G_921	upregulates-expression	1.0
TF_17	G_940	upregulates-expression	1.0
TF_17	G_783	upregulates-expression	1.0
TF_17	G_764	upregulates-expression	1.0
TF_17	G_310	upregulates-expression	1.0
TF_17	G_625	upregulates-expression	1.0
TF_17	G_58	upregulates-expression	1.0
TF_17	G_858	upregulates-expression	1.0
TF_17	G_245	upregulates-expression	1.0
TF_17	G_847	upregulates-expression	1.0
TF_17	G_141	upregulates-expression	1.0
TF_17	G_742	upregulates-expression	1.0
TF_18	G_787	upregulates-expression	1.0
TF_18	G_249	upregulates-expression	1.0
TF_18	G_502	upregulates-expression	1.0
TF_18	G_501	upregulates-expression	1.0
TF_18	G_917	upregulates-expression	1.0
TF_18	G_586	upregulates-expression	1.0
TF_18	G_389	upregulates-expression	1.0
TF_19	G_960	upregulates-expression	1.0
TF_19	G_798	upregulates-expression	1.0
TF_19	G_991	upregulates-expression	1.0
TF_19	G_202	upregulates-expression	1.0
TF_19	G_922	upregulates-expression	1.0
TF_19	G_734	downregulates-expression	1.0
TF_20	G_287	upregulates-expression	1.0
TF_20	G_62	upregulates-expression	1.0
TF_20	G_232	upregulates-expression	1.0
TF_20	G_772	upregulates-expression	1.0
TF_20	G_376	upregulates-expression	1.0
TF_20	G_873	upregulates-expression	1.0
TF_20	G_348	upregulates-expression	1.0
TF_20	G_308	upregulates-expression	1.0
TF_20	G_656	upregulates-expression	1.0
TF_20	G_30	upregulates-expression	1.0
TF_20	G_839	upregulates-expression	1.0
TF_20	G_722	upregulates-expression	1.0
TF_20	G_985	upregulates-expression	1.0
TF_20	G_992	upregulates-expression	1.0
TF_20	G_886	upregulates-expression	1.0
TF_20	G_119	upregulates-expression	1.0
TF_20	G_788	upregulates-expression	1.0
TF_20	G_416	upregulates-expression	1.0
TF_20	G_476	upregulates-expression	1.0
TF_20	G_335	upregulates-expression	1.0
TF_20	G_491	downregulates-expression	1.0
TF_20	G_562	downregulates-expression	1.0
TF_20	G_608	downregulates-expression	1.0
TF_21	G_31	upregulates-expression	1.0
TF_21	G_158	upregulates-expression	1.0
TF_21	G_974	upregulates-expression	1.0
TF_21	G_958	upregulates-expression	1.0
TF_21	G_819	upregulates-expression	1.0
TF_21	G_479	upregulates-expression	1.0
TF_21	G_453	upregulates-expression	1.0
TF_21	G_218	upregulates-expression	1.0
TF_21	G_580	upregulates-expression	1.0
TF_21	G_754	downregulates-expression	1.0
TF_21	G_719	downregulates-expression	1.0
TF_21	G_643	downregulates-expression	1.0
TF_21	G_637	downregulates-expression	1.0
TF_21	G_525	downregulates-expression	1.0
TF_21	G_350	downregulates-expression	1.0
TF_21	G_894	downregulates-expression	1.0
TF_22	G_642	upregulates-expression	1.0
TF_22	G_722	upregulates-expression	1.0
TF_22	G_585	upregulates-expression	1.0
TF_22	G_149	upregulates-expression	1.0
TF_22	G_799	upregulates-expression	1.0
TF_22	G_89	upregulates-expression	1.0
TF_22	G_345	upregulates-expression	1.0
TF_22	G_468	upregulates-expression	1.0
TF_22	G_838	upregulates-expression	1.0
TF_22	G_774	upregulates-expression	1.0
TF_22	G_632	upregulates-expression	1.0
TF_22	G_453	upregulates-expression	1.0
TF_22	G_519	upregulates-expression	1.0
TF_22	G_882	upregulates-expression	1.0
TF_22	G_186	upregulates-expression	1.0
TF_23	G_154	upregulates-expression	1.0
TF_23	G_301	upregulates-expression	1.0
TF_23	G_677	upregulates-expression	1.0
TF_23	G_293	upregulates-expression	1.0
TF_23	G_569	upregulates-expression	1.0
TF_23	G_552	upregulates-expression	1.0
TF_23	G_615	upregulates-expression	1.0
TF_23	G_682	upregulates-expression	1.0
TF_23	G_693	upregulates-expression	1.0
TF_23	G_311	upregulates-expression	1.0
TF_23	G_628	upregulates-expression	1.0
TF_23	G_688	upregulates-expression	1.0
TF_23	G_228	upregulates-expression	1.0
TF_23	G_89	upregulates-expression	1.0
TF_23	G_916	upregulates-expression	1.0
TF_23	G_631	downregulates-expression	1.0
TF_23	G_453	downregulates-expression	1.0
TF_24	G_495	upregulates-expression	1.0
TF_24	G_435	upregulates-expression	1.0
TF_24	G_480	upregulates-expression	1.0
TF_24	G_469	upregulates-expression	1.0
TF_24	G_194	upregulates-expression	1.0
TF_24	G_747	upregulates-expression	1.0
TF_24	G_771	upregulates-expression	1.0
TF_24	G_523	upregulates-expression	1.0
TF_24	G_490	upregulates-expression	1.0
TF_24	G_627	upregulates-expression	1.0
TF_24	G_748	upregulates-expression	1.0
TF_24	G_487	upregulates-expression	1.0
TF_24	G_86	upregulates-expression	1.0
TF_24	G_1	upregulates-expression	1.0
TF_24	G_453	upregulates-expression	1.0
TF_24	G_603	upregulates-expression	1.0
TF_24	G_510	upregulates-expression	1.0
TF_24	G_932	upregulates-expression	1.0
TF_24	G_119	upregulates-expression	1.0
TF_24	G_228	upregulates-expression	1.0
TF_24	G_926	upregulates-expression	1.0
TF_24	G_35	upregulates-expression	1.0
TF_24	G_961	upregulates-expression	1.0
TF_25	G_253	upregulates-expression	1.0
TF_26	G_993	upregulates-expression	1.0
TF_26	G_586	upregulates-expression	1.0
TF_26	G_994	upregulates-expression	1.0
TF_26	G_522	upregulates-expression	1.0
TF_26	G_268	upregulates-expression	1.0
TF_26	G_642	upregulates-expression	1.0
TF_27	G_222	downregulates-expression	1.0
TF_28	G_309	upregulates-expression	1.0
TF_28	G_447	upregulates-expression	1.0
TF_28	G_841	upregulates-expression	1.0
TF_28	G_913	upregulates-expression	1.0
TF_28	G_274	upregulates-expression	1.0
TF_28	G_803	upregulates-expression	1.0
TF_28	G_992	upregulates-expression	1.0
TF_28	G_991	upregulates-expression	1.0
TF_28	G_321	upregulates-expression	1.0
TF_28	G_523	downregulates-expression	1.0
TF_29	G_764	upregulates-expression	1.0
TF_29	G_202	upregulates-expression	1.0
TF_29	G_27	upregulates-expression	1.0
TF_29	G_140	upregulates-expression	1.0
TF_29	G_245	upregulates-expression	1.0
TF_29	G_847	upregulates-expression	1.0
TF_29	G_552	upregulates-expression	1.0
TF_29	G_328	upregulates-expression	1.0
TF_29	G_331	downregulates-expression	1.0
TF_29	G_452	downregulates-expression	1.0
